"Espace";"Sous-partie";"Fonctionnalité utilisateur";"Technique informatique";"Difficulté WP (0-10/Z)";"Export Lovable→WP";"Extensions WP nécessaires";"Difficulté duplication site enfant (0-10)"
"Adjudications";"Carte lot gagné";"Image, titre, prix adjudication";"Card component";"3";"Non";"Custom card";"2"
"Adjudications";"Lien bordereau";"Accès PDF bordereau";"Link to bordereaux";"3";"Non";"PDF link";"1"
"Adjudications";"Statut paiement";"Payé/En attente depuis bordereaux";"Query + status display";"4";"Non";"Payment status";"2"
"";"TOTAL ADJUDICATIONS";"";"";"";"";""
"";"";"";"Somme difficultés";"15";"";"";"8"
"=== COMPTE - RÉGLER ACHATS ===";"";"";"";"";"";""
"Régler Achats";"Liste bordereaux";"Query bordereaux impayés";"Supabase query";"4";"Non";"Invoice list";"2"
"Régler Achats";"Détail bordereau";"Lot, prix, frais, total TTC";"Data display";"3";"Non";"Invoice template";"1"
"Régler Achats";"Bouton payer";"Intégration paiement (à implémenter)";"Stripe/autre";"8";"Non";"WooCommerce Stripe";"4"
"Régler Achats";"PDF bordereau";"Téléchargement facture";"PDF link";"3";"Non";"PDF generator";"2"
"";"TOTAL RÉGLER ACHATS";"";"";"";"";""
"";"";"";"Somme difficultés";"18";"";"";"9"
"=== COMPTE - ENLÈVEMENT ===";"";"";"";"";"";""
"Enlèvement";"Liste RDV";"Query pickup_appointments";"Supabase query";"4";"Non";"Appointment plugin";"2"
"Enlèvement";"Réserver créneau";"Sélection date/heure";"Calendar picker + insert";"6";"Non";"Booking plugin";"3"
"Enlèvement";"Vérif disponibilité";"Check créneaux existants";"Query + validation";"4";"Non";"Availability check";"2"
"Enlèvement";"Annuler RDV";"Delete appointment";"Supabase delete";"2";"Oui";"Cancel button";"1"
"";"TOTAL ENLÈVEMENT";"";"";"";"";""
"";"";"";"Somme difficultés";"16";"";"";"8"
"=== COMPTE - PROFIL ===";"";"";"";"";"";""
"Profil";"6 étapes pliables";"Accordéon: Identité, Contact, Adresse, ID, Banque, Sécurité";"Accordion component";"4";"Non";"Profile tabs";"2"
"Profil";"Formulaire identité";"Nom, prénom, société";"Form + Supabase update";"3";"Non";"Profile fields";"1"
"Profil";"Formulaire contact";"Téléphone, email (readonly)";"Form + validation";"3";"Non";"Profile fields";"1"
"Profil";"Formulaire adresse";"Rue, CP, ville, pays";"Form + Supabase update";"3";"Non";"Address fields";"1"
"Profil";"Upload pièce identité";"Envoi document vers Storage";"Supabase Storage upload";"6";"Non";"File upload plugin";"3"
"Profil";"Statut ID";"En attente/Validé";"id_document_status display";"2";"Oui";"Status field";"1"
"Profil";"Validation bancaire";"Toggle ou lien vers process";"bank_validated field";"4";"Non";"Custom validation";"2"
"Profil";"Sécurité";"Changement mot de passe";"Supabase auth update";"5";"Non";"WP password change";"2"
"Profil";"Indicateurs étapes";"Pastilles vert/orange complétion";"Conditional CSS";"3";"Non";"Custom indicators";"1"
"";"TOTAL PROFIL";"";"";"";"";""
"";"";"";"Somme difficultés";"33";"";"";"14"
"=== COMPTE - VIE PRIVÉE ===";"";"";"";"";"";""
"Vie Privée";"Consentements";"Checkboxes RGPD";"Query/update user_consents";"4";"Non";"GDPR plugin";"2"
"Vie Privée";"Export données";"Demande export données perso";"Action button + process";"6";"Non";"GDPR export";"3"
"Vie Privée";"Suppression compte";"Demande suppression";"Soft delete process";"7";"Non";"Account deletion";"4"
"";"TOTAL VIE PRIVÉE";"";"";"";"";""
"";"";"";"Somme difficultés";"17";"";"";"9"
"=== AUTHENTIFICATION ===";"";"";"";"";"";""
"Auth";"Page connexion";"Formulaire email/password";"Supabase Auth signIn";"4";"Non";"WP Login";"1"
"Auth";"Page inscription";"Formulaire création compte";"Supabase Auth signUp";"4";"Non";"WP Register";"1"
"Auth";"Auto-confirm email";"Pas de validation email";"Auth config";"2";"Oui";"WP config";"0"
"Auth";"Mot de passe oublié";"Reset password flow";"Supabase Auth reset";"4";"Non";"WP password reset";"1"
"Auth";"Session persistante";"Token management";"Supabase Auth session";"3";"Non";"WP cookies";"1"
"Auth";"Protection routes";"Redirect si non connecté";"useAuth hook + Navigate";"4";"Non";"Membership plugin";"2"
"";"TOTAL AUTH";"";"";"";"";""
"";"";"";"Somme difficultés";"21";"";"";"6"
"=== EDGE FUNCTIONS (Backend) ===";"";"";"";"";"";""
"Edge Functions";"taste-interview";"Conversation IA profilage goûts";"Deno + OpenAI API";"9";"Non";"Custom Lambda + OpenAI";"Z"
"Edge Functions";"validate-alert-keyword";"Validation mot-clé alerte par IA";"Deno + AI validation";"7";"Non";"Custom AI validator";"Z"
"Edge Functions";"synthesize-alerts";"Matching lots/alertes";"Deno + SQL search";"7";"Non";"Custom search engine";"Z"
"Edge Functions";"answer-lot-question";"IA répond questions sur lot";"Deno + OpenAI";"8";"Non";"Custom AI Q&A";"Z"
"Edge Functions";"enrich-lot-ai";"Enrichissement IA fiche lot";"Deno + OpenAI";"8";"Non";"Custom AI enrichment";"Z"
"Edge Functions";"enrich-sale-lots-ai";"Enrichissement batch lots vente";"Deno + batch processing";"7";"Non";"Batch processor";"Z"
"Edge Functions";"scrape-interencheres";"Scraping données Interenchères";"Deno + Firecrawl API";"8";"Non";"Custom scraper";"Z"
"Edge Functions";"scrape-lots";"Scraping détails lots";"Deno + Firecrawl";"Voir scrape-interencheres";"Non";"Custom scraper";"Z"
"Edge Functions";"scrape-lot-images";"Extraction images HD lots";"Deno + image processing";"7";"Non";"Image scraper";"Z"
"Edge Functions";"store-lot-images";"Stockage images Supabase Storage";"Deno + Storage API";"5";"Non";"S3 upload";"4"
"Edge Functions";"image-proxy";"Proxy images externes (CORS)";"Deno + fetch";"4";"Non";"Image proxy plugin";"3"
"Edge Functions";"search-example-images";"Recherche images exemples pour Lia";"Deno + image search";"6";"Non";"Image search API";"Z"
"Edge Functions";"import-lots-json";"Import lots depuis JSON";"Deno + parse + insert";"5";"Non";"CSV/JSON importer";"3"
"Edge Functions";"get-sales-data";"API données ventes publiques";"Deno + query";"4";"Non";"REST API endpoint";"2"
"Edge Functions";"hydrate-lot-images";"Téléchargement images manquantes";"Deno + fetch + Storage";"6";"Non";"Image downloader";"4"
"";"TOTAL EDGE FUNCTIONS";"";"";"";"";""
"";"";"";"Somme difficultés";"91";"";"";"Z"
"=== RÉSUMÉ GLOBAL ===";"";"";"";"";"";""
"";"Header";"";"";"40";"";"";"19"
"";"Footer";"";"";"15";"";"";"1"
"";"Index (Accueil)";"";"";"38";"";"";"25"
"";"Ventes à venir";"";"";"17";"";"";"12"
"";"Ventes passées";"";"";"11";"";"";"5"
"";"After Sale";"";"";"12";"";"";"7"
"";"Guide Acheteur";"";"";"12";"";"";"3"
"";"Guide Vendeur";"";"";"10";"";"";"2"
"";"Estimation en ligne";"";"";"24";"";"";"13"
"";"Inventaire domicile";"";"";"4";"";"";"2"
"";"Journées estimation";"";"";"12";"";"";"6"
"";"La Maison";"";"";"9";"";"";"1"
"";"Aventures enchères";"";"";"9";"";"";"4"
"";"Coups de cœur";"";"";"8";"";"";"3"
"";"Contact";"";"";"7";"";"";"3"
"";"Calendrier";"";"";"18";"";"";"8"
"";"Spécialités (×8)";"";"";"248";"";"";"112"
"";"Détail vente";"";"";"26";"";"";"12"
"";"Détail lot";"";"";"47";"";"";"23"
"";"Lot After-Sale";"";"";"11";"";"";"4"
"";"Planning flottant";"";"";"49";"";"";"29"
"";"Compte - Accueil";"";"";"18";"";"";"10"
"";"Compte - Sidebar";"";"";"16";"";"";"7"
"";"Compte - Newsletter";"";"";"11";"";"";"5"
"";"Compte - Alertes";"";"";"29";"";"";"Z"
"";"Compte - Mes Like";"";"";"23";"";"";"Z"
"";"Compte - Dialogue Lia";"";"";"41";"";"";"Z"
"";"Compte - Favoris";"";"";"12";"";"";"6"
"";"Compte - Mes Ordres";"";"";"17";"";"";"8"
"";"Compte - Enchères Tél";"";"";"11";"";"";"5"
"";"Compte - Adjudications";"";"";"15";"";"";"8"
"";"Compte - Régler Achats";"";"";"18";"";"";"9"
"";"Compte - Enlèvement";"";"";"16";"";"";"8"
"";"Compte - Profil";"";"";"33";"";"";"14"
"";"Compte - Vie Privée";"";"";"17";"";"";"9"
"";"Authentification";"";"";"21";"";"";"6"
"";"Edge Functions";"";"";"91";"";"";"Z"
"";"";"";"";"";"";""
"";"TOTAL GÉNÉRAL DIFFICULTÉ WP";"";"";"1006";"";""
"";"ÉLÉMENTS NON DUPLICABLES (Z)";"Fonctions IA (Lia, alertes, enrichissement)";"";"Impossible sur WP standard";"";"";"Z"
